date,title,summary,topic,media,link
2022-08-07,"Se roban $5,000 en efectivo, un celular y hasta la ropa lavada de una residencia en Naguabo",La Policía investiga ,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/se-roban-5-000-en-efectivo-un-celular-y-hasta-la-ropa-lavada-de-una/article_6d21d65a-16c7-11ed-9af8-270b4f0cfbee.html
2022-08-07,Un conductor se queda dormido y atropella fatalmente a una pareja de ciclistas en Manatí,La Policía investiga,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/un-conductor-se-queda-dormido-y-atropella-fatalmente-a-una-pareja-de-ciclistas-en-manat/article_4f7785ce-1653-11ed-9937-870dc47d94da.html
2022-08-07,Identifican al hombre asesinado en una casa abandonada en Hato Rey,La Policía investiga,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/identifican-al-hombre-asesinado-en-una-casa-abandonada-en-hato-rey/article_c617bc54-1643-11ed-b0ce-2bd38233e908.html
2022-08-07,Un conductor pierde la vida en un accidente en Bayamón,,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/un-conductor-pierde-la-vida-en-un-accidente-en-bayam-n/article_adcf3bb4-1651-11ed-a2c2-8748fb85941c.html
2022-08-07,Un individuo le da un fatal empujón a su padrastro en medio de una disputa por un televisor,Los hechos se reportaron en Trujillo Alto,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/un-individuo-le-da-un-fatal-empuj-n-a-su-padrastro-en-medio-de-una/article_f4a2f5c6-163d-11ed-8658-afe8b1d49489.html
2022-08-07,Sin rastro de un hombre secuestrado hace un mes en Río Grande,"Transcurrido un mes, la investigación no ha rendido frutos ",Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/sin-rastro-de-un-hombre-secuestrado-hace-un-mes-en-r-o-grande/article_f128ad72-1639-11ed-875d-8bf87c5c5e76.html
2022-08-07,Ultiman a tiros a otro cantante de música urbana en Carolina,"Cerca del lugar de los hechos, ultimaron a balazos a otro exponente del género hace poco menos de ocho meses",Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/ultiman-a-tiros-a-otro-cantante-de-m-sica-urbana-en-carolina/article_fbab8812-1636-11ed-a8e1-d3ba4ee31c6d.html
2022-08-06,Un hombre es acusado de maltratar a su expareja en presencia de menores,Al hombre se le imputa haber agredido a la víctima,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/justicia/un-hombre-es-acusado-de-maltratar-a-su-expareja-en-presencia-de-menores/article_85f704fa-15ac-11ed-b21a-27c0572735d4.html
2022-08-06,La Policía investiga apropiaciones ilegales en Orocovis y Dorado,"En uno de los casos se reportó el robo de $18,000",Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/la-polic-a-investiga-apropiaciones-ilegales-en-orocovis-y-dorado/article_326bc288-15b3-11ed-bbfb-07fe7971b2c2.html
2022-08-06,Un hombre muere en un accidente vehicular en Juncos,La División de Patrullas de Autopistas y Carreteras del área policiaca de Caguas investiga el caso,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/un-hombre-muere-en-un-accidente-vehicular-en-juncos/article_7038ceca-15a0-11ed-8d24-53738cfb23d2.html
2022-08-06,Acribillan a balazos a un hombre y una mujer en Fajardo,"La Policía ocupó en la escena dos pistolas, un rifle de fabricación casera y una paila de pintura con drogas",Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/acribillan-a-balazos-a-un-hombre-y-una-mujer-en-fajardo/article_9bc554fe-1592-11ed-90a2-17ffb57badf8.html
2022-08-06,Un hombre es arrollado por un conductor que se dio a la fuga en Cayey,Los hechos ocurrieron en la carretera PR-1,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/un-hombre-es-arrollado-por-un-conductor-que-se-dio-a-la-fuga-en-cayey/article_b6ea25a0-158a-11ed-9971-370f06121d92.html
2022-08-06,La Policía investiga una fatal balacera en Carolina,Un hombre murió y otro resultó herido,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/la-polic-a-investiga-una-fatal-balacera-en-carolina/article_e81e5e38-1586-11ed-a471-e36eb744206f.html
2022-08-06,Solicitan ayuda para localizar a un joven desaparecido en Caguas,Fue visto por última ocasión el 25 de julio del 2022 en el sector El Palmar ,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/solicitan-ayuda-para-localizar-a-un-joven-desaparecido-en-caguas/article_1d268082-157e-11ed-9cab-fbd2dab4bd49.html
2022-08-06,Localizan a un adolescente reportado como desaparecido en Hato Rey,Se encuentra en buen estado de salud,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/localizan-a-un-adolescente-reportado-como-desaparecido-en-hato-rey/article_ad969348-1572-11ed-af71-6721a794e1c9.html
2022-08-05,Los abogados de Raphy Pina solicitan al Apelativo que ordene un nuevo juicio,"Ya con la apelación solicitada, la fiscalía federal tiene 30 días para contestar las solicitudes de los abogados del productor",Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/federal/los-abogados-de-raphy-pina-solicitan-al-apelativo-que-ordene-un-nuevo-juicio/article_409ae55e-1500-11ed-a8a2-c7ee193b7ef3.html
2022-08-05,Arrestan a un gatillero que figura como sospechoso de múltiples asesinatos,Uno de los detenidos alegadamente se dedica a realizar ejecuciones para el grupo de la barriada Juana Matos ,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/arrestan-a-un-gatillero-que-figura-como-sospechoso-de-m-ltiples-asesinatos/article_9b707b00-14c5-11ed-80e9-8b9e8a97614d.html
2022-08-05,La Policía ocupa una guagua vinculada con un accidente fatal,La guagua fue encontrada en la parte posterior de una oficina médica en Ponce,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/la-polic-a-ocupa-una-guagua-vinculada-con-un-accidente-fatal/article_d8f13478-14e9-11ed-b47d-67b59798124c.html
2022-08-05,Identifican el hombre que fue acribillado a balazos frente a una escuela en Aguas Buenas,La Uniformada también investiga otro asesinato en Barceloneta,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/identifican-el-hombre-que-fue-acribillado-a-balazos-frente-a-una-escuela-en-aguas-buenas/article_771a5e02-14ab-11ed-ab27-4343456e2e89.html
2022-08-05,Ocupan cientos de pastillas durante un registro en la cárcel Las Cucharas,Oficiales correccionales también ocuparon teléfonos en varias celdas,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/ocupan-cientos-de-pastillas-durante-un-registro-en-la-c-rcel-las-cucharas/article_352d5982-14cd-11ed-99ab-7f372e1d67e7.html
2022-08-05,Ingresan a prisión a los imputados de atacar a tiros a policías en Toa Baja,El violento incidente fue captado en vídeo,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/ingresan-a-prisi-n-a-los-imputados-de-atacar-a-tiros-a-polic-as-en/article_0607d090-14ca-11ed-b753-9fbbe2841f1f.html
2022-08-05,Banquero prometió fondos para la campaña de Wanda Vázquez Garced,Exmanejador de finanzas se declaró culpable de participar en sobornos,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/federal/banquero-prometi-fondos-para-la-campa-a-de-wanda-v-zquez-garced/article_9f860dc4-145a-11ed-b08f-1b1b6515e35f.html
2022-08-05,El conductor de una grúa muere arrollado mientras realizaba trabajos en el expreso PR-22,La situación provocó el cierre de cuatro carriles de la concurrida vía ,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/el-conductor-de-una-gr-a-muere-arrollado-mientras-realizaba-trabajos-en-el-expreso-pr/article_56abf294-14a5-11ed-81f2-fbbb22242e67.html
2022-08-05,Este es el esquema imputado a la exgobernadora Wanda Vázquez,"Enfrenta cargos federales por conspiración, soborno y fraude electrónico",Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/federal/este-es-el-esquema-imputado-a-la-exgobernadora-wanda-v-zquez/article_a238ada6-1464-11ed-9e3a-7fda49a48f50.html
2022-08-05,Llueven las reacciones al arresto de Wanda Vázquez,Expresan frustración ante los actos de corrupción señalados ,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/federal/llueven-las-reacciones-al-arresto-de-wanda-v-zquez/article_ffda054c-1458-11ed-8a3f-07b6e44d8ffe.html
2022-08-04,"La exgobernadora Wanda Vázquez al salir del tribunal federal: ""Han cometido una gran injusticia""",Aseguró que las autoridades federales cometieron una “gran injusticia”,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/federal/la-exgobernadora-wanda-v-zquez-al-salir-del-tribunal-federal-han-cometido-una-gran-injusticia/article_f98f3f8e-1414-11ed-9d64-dbaadfb71fa8.html
2022-08-04,El Instituto de Ciencias Forenses concluye la autopsia del joven en Río Piedras,El reporte será enviado a la Fiscalía,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/el-instituto-de-ciencias-forenses-concluye-la-autopsia-del-joven-en-r-o-piedras/article_a9dc594e-1442-11ed-82f7-67fbcb72b4e7.html
2022-08-04,John Blakeman intervino para que Wanda Vázquez nombrara un nuevo jefe en OCIF,La información trasciende hoy luego de que el juez federal Francisco Besosa liberara el pliego acusatorio contra el consultor político,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/john-blakeman-intervino-para-que-wanda-v-zquez-nombrara-un-nuevo-jefe-en-ocif/article_e5d5236e-13f6-11ed-86bc-df3a062de8cf.html
2022-08-04,Un hombre es asesinado a tiros en Barceloneta,La Policía investiga,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/un-hombre-es-asesinado-a-tiros-en-barceloneta/article_e035bafa-1445-11ed-b299-bb5b4b89fe5a.html
2022-08-04,Acusan por tentativa de feminicidio a un joven que apuñaló a su novia en Carolina,"Una jueza le impuso una fianza de $125,000",Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/justicia/acusan-por-tentativa-de-feminicidio-a-un-joven-que-apu-al-a-su-novia-en/article_48c43d64-143f-11ed-90ea-6b3e722ba82d.html
2022-08-04,Encuentran un hombre sin signos vitales en un su residencia en Fajardo,La Policía investiga ,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/encuentran-un-hombre-sin-signos-vitales-en-un-su-residencia-en-fajardo/article_1885dbb4-143d-11ed-ba46-af4280fcf3c5.html
2022-08-04,Un joven le roba sortija a su madre y la lleva a empeñar,"La prenda está valorada en $2,500",Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/un-joven-le-roba-sortija-a-su-madre-y-la-lleva-a-empe-ar/article_4be41e4a-1437-11ed-adbb-178f3a9b78e1.html
2022-08-04,Un hombre es timado por su expareja en Barranquitas,"Su expareja realizó varias transferencias de su cuenta a la de ella sin su autorización por la cantidad de $2,361.00",Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/un-hombre-es-timado-por-su-expareja-en-barranquitas/article_1baf7c88-142d-11ed-b653-0b05bb435958.html
2022-08-04,Policía investiga a “Mueca” como posible autor de carjacking,"Tras su arresto en el día de ayer, un ciudadano lo reconoció a través de los medios como el responsable de realizarle el robo a mano armada",Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/polic-a-investiga-a-mueca-como-posible-autor-de-carjacking/article_ee6edbee-1420-11ed-ad98-dba5b57878a5.html
2022-08-04,La exgobernadora Wanda Vázquez y un banquero internacional enfrentan cargos federales por soborno,Un ex agente del FBI también está involucrado en el caso,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/federal/la-exgobernadora-wanda-v-zquez-y-un-banquero-internacional-enfrentan-cargos-federales-por-soborno/article_6c6e86dc-d585-11ec-88fb-ebe289f53288.html
2022-08-04,Radican faltas a un menor por un asesinato ocurrido en Arecibo,El menor fue ingresado en el Complejo Correccional Juvenil de Ponce,Ley y Orden,El Vocero,https://www.elvocero.com/ley-y-orden/policiacas/radican-faltas-a-un-menor-por-un-asesinato-ocurrido-en-arecibo/article_6972b89a-140a-11ed-a8ae-f721272d91a0.html
